timeStamp, ,positionx,positiony,positionz,quaternionx,quaterniony,quaternionz,quaternionw
264961.343750, , -0.032726, -0.004110, -0.001613, 0.019577, -0.014801, 0.698786, -0.714910
 264961.343750, , -0.032933, -0.004188, -0.002188, 0.019577, -0.014801, 0.698786, -0.714910
 264961.375000, , -0.032933, -0.004188, -0.002188, 0.019577, -0.014801, 0.698786, -0.714910
 264961.375000, , -0.032933, -0.004188, -0.002188, 0.019577, -0.014801, 0.698786, -0.714910
 264961.375000, , -0.032933, -0.004188, -0.002188, 0.019577, -0.014801, 0.698786, -0.714910
 264961.406250, , -0.032933, -0.004188, -0.002188, 0.019577, -0.014801, 0.698786, -0.714910
 264961.406250, , -0.032933, -0.004188, -0.002188, 0.019577, -0.014801, 0.698786, -0.714910
 264961.406250, , -0.032933, -0.004188, -0.002188, 0.019577, -0.014801, 0.698786, -0.714910
 264961.406250, , -0.032933, -0.004188, -0.002188, 0.019577, -0.014801, 0.698786, -0.714910
 264961.437500, , -0.032987, -0.004247, -0.002779, 0.020987, -0.013298, 0.698794, -0.714891
 264961.437500, , -0.032987, -0.004247, -0.002779, 0.020987, -0.013298, 0.698794, -0.714891
 264961.437500, , -0.032938, -0.004310, -0.002576, 0.021307, -0.012964, 0.698813, -0.714869
 264961.468750, , -0.032938, -0.004310, -0.002576, 0.021307, -0.012964, 0.698813, -0.714869
 264961.468750, , -0.032931, -0.004291, -0.002408, 0.020455, -0.013878, 0.698808, -0.714882
 264961.468750, , -0.032931, -0.004291, -0.002408, 0.020455, -0.013878, 0.698808, -0.714882
 264961.500000, , -0.032931, -0.004291, -0.002408, 0.020455, -0.013878, 0.698808, -0.714882
 264961.500000, , -0.032931, -0.004291, -0.002408, 0.020455, -0.013878, 0.698808, -0.714882
 264961.500000, , -0.032931, -0.004292, -0.002472, 0.020127, -0.014267, 0.698810, -0.714881
 264961.500000, , -0.032904, -0.004292, -0.002472, 0.020127, -0.014267, 0.698810, -0.714881
 264961.531250, , -0.032904, -0.004292, -0.002472, 0.020127, -0.014267, 0.698810, -0.714881
 264961.531250, , -0.032904, -0.004292, -0.002472, 0.020127, -0.014267, 0.698810, -0.714881
 264961.562500, , -0.032781, -0.004310, -0.001813, 0.020730, -0.013677, 0.698850, -0.714837
 264961.562500, , -0.032781, -0.004310, -0.001813, 0.020730, -0.013677, 0.698850, -0.714837
 264961.562500, , -0.032781, -0.004310, -0.001813, 0.020730, -0.013677, 0.698850, -0.714837
 264961.593750, , -0.032784, -0.004320, -0.001855, 0.020942, -0.013492, 0.698839, -0.714845
 264961.593750, , -0.032784, -0.004320, -0.001855, 0.020942, -0.013492, 0.698839, -0.714845
 264961.593750, , -0.032784, -0.004320, -0.001855, 0.020942, -0.013492, 0.698839, -0.714845
 264961.625000, , -0.032784, -0.004320, -0.001855, 0.020942, -0.013492, 0.698839, -0.714845
 264961.625000, , -0.032759, -0.004302, -0.001697, 0.020496, -0.013951, 0.698833, -0.714855
 264961.625000, , -0.032759, -0.004302, -0.001697, 0.020496, -0.013951, 0.698833, -0.714855
 264961.625000, , -0.032759, -0.004302, -0.001697, 0.020496, -0.013951, 0.698833, -0.714855
 264961.656250, , -0.032721, -0.004294, -0.001624, 0.020257, -0.014161, 0.698842, -0.714849
 264961.656250, , -0.032721, -0.004294, -0.001624, 0.020257, -0.014161, 0.698842, -0.714849
 264961.656250, , -0.032721, -0.004294, -0.001624, 0.020257, -0.014161, 0.698842, -0.714849
 264961.687500, , -0.032721, -0.004294, -0.001624, 0.020257, -0.014161, 0.698842, -0.714849
 264961.687500, , -0.032907, -0.004036, -0.001533, 0.020172, -0.014233, 0.698845, -0.714846
 264961.687500, , -0.032907, -0.004036, -0.001533, 0.020172, -0.014233, 0.698845, -0.714846
 264961.718750, , -0.032907, -0.004036, -0.001533, 0.020172, -0.014233, 0.698845, -0.714846
 264961.718750, , -0.032917, -0.003993, -0.001475, 0.019942, -0.014492, 0.698838, -0.714855
 264961.718750, , -0.032917, -0.003993, -0.001475, 0.019942, -0.014492, 0.698838, -0.714855
 264961.718750, , -0.032917, -0.003993, -0.001475, 0.019942, -0.014492, 0.698838, -0.714855
 264961.750000, , -0.032919, -0.003966, -0.001620, 0.020237, -0.014204, 0.698840, -0.714850
 264961.750000, , -0.032919, -0.003966, -0.001620, 0.020237, -0.014204, 0.698840, -0.714850
 264961.781250, , -0.032919, -0.003966, -0.001620, 0.020237, -0.014204, 0.698840, -0.714850
 264961.781250, , -0.032756, -0.004227, -0.001629, 0.020670, -0.013800, 0.698836, -0.714850
 264961.781250, , -0.032756, -0.004227, -0.001629, 0.020670, -0.013800, 0.698836, -0.714850
 264961.812500, , -0.032756, -0.004227, -0.001629, 0.020670, -0.013800, 0.698836, -0.714850
 264961.812500, , -0.032756, -0.004227, -0.001629, 0.020670, -0.013800, 0.698836, -0.714850
 264961.812500, , -0.032756, -0.004227, -0.001629, 0.020860, -0.013613, 0.698839, -0.714845
 264961.843750, , -0.032740, -0.004222, -0.001734, 0.020860, -0.013613, 0.698839, -0.714845
 264961.843750, , -0.032740, -0.004222, -0.001734, 0.020860, -0.013613, 0.698839, -0.714845
 264961.843750, , -0.032874, -0.004080, -0.002071, 0.020975, -0.013474, 0.698811, -0.714871
 264961.843750, , -0.032874, -0.004080, -0.002071, 0.020975, -0.013474, 0.698811, -0.714871
 264961.875000, , -0.032874, -0.004080, -0.002071, 0.020975, -0.013474, 0.698811, -0.714871
 264961.875000, , -0.032874, -0.004080, -0.002071, 0.020975, -0.013474, 0.698811, -0.714871
 264961.875000, , -0.032885, -0.004046, -0.002129, 0.021003, -0.013423, 0.698810, -0.714872
 264961.906250, , -0.032885, -0.004046, -0.002129, 0.021003, -0.013423, 0.698810, -0.714872
 264961.906250, , -0.032885, -0.004046, -0.002129, 0.021003, -0.013423, 0.698810, -0.714872
 264961.906250, , -0.032885, -0.004046, -0.002129, 0.021003, -0.013423, 0.698810, -0.714872
 264961.937500, , -0.032897, -0.003997, -0.002150, 0.020883, -0.013566, 0.698803, -0.714880
 264961.937500, , -0.032897, -0.003997, -0.002150, 0.020883, -0.013566, 0.698803, -0.714880
 264961.937500, , -0.032897, -0.003997, -0.002150, 0.020883, -0.013566, 0.698803, -0.714880
 264961.937500, , -0.032735, -0.004084, -0.001927, 0.021091, -0.013381, 0.698810, -0.714871
 264961.968750, , -0.032735, -0.004084, -0.001927, 0.021091, -0.013381, 0.698810, -0.714871
 264961.968750, , -0.032735, -0.004084, -0.001927, 0.021091, -0.013381, 0.698810, -0.714871
 264962.000000, , -0.032724, -0.004068, -0.002002, 0.021148, -0.013296, 0.698811, -0.714870
 264962.000000, , -0.032724, -0.004068, -0.002002, 0.021148, -0.013296, 0.698811, -0.714870
 264962.000000, , -0.032724, -0.004068, -0.002002, 0.021148, -0.013296, 0.698811, -0.714870
 264962.031250, , -0.032732, -0.004050, -0.002072, 0.021267, -0.013135, 0.698801, -0.714879
 264962.031250, , -0.032732, -0.004050, -0.002072, 0.021267, -0.013135, 0.698801, -0.714879
 264962.031250, , -0.032732, -0.004050, -0.002072, 0.021267, -0.013135, 0.698801, -0.714879
 264962.062500, , -0.032732, -0.004050, -0.002072, 0.021267, -0.013135, 0.698809, -0.714865
 264962.062500, , -0.032701, -0.004026, -0.001776, 0.021751, -0.012662, 0.698809, -0.714865
 264962.062500, , -0.032701, -0.004026, -0.001776, 0.021751, -0.012662, 0.698809, -0.714865
 264962.062500, , -0.032701, -0.004026, -0.001776, 0.021751, -0.012662, 0.698809, -0.714865
 264962.093750, , -0.032701, -0.004026, -0.001776, 0.021751, -0.012662, 0.698809, -0.714865
 264962.093750, , -0.032701, -0.004026, -0.001776, 0.021751, -0.012662, 0.698809, -0.714865
 264962.093750, , -0.032701, -0.004026, -0.001776, 0.021751, -0.012662, 0.698809, -0.714865
 264962.125000, , -0.032701, -0.004026, -0.001776, 0.021751, -0.012662, 0.698809, -0.714865
